DATETIME;IDR
2021-03-06;14394.446306
2021-03-07;14394.446306
2021-03-08;14360.003371
2021-03-09;14411.451152
2021-03-10;14405.003364
2021-03-11;14404.996240
2021-03-12;14392.550071
2021-03-13;14392.550071
2021-03-14;14392.550071
2021-03-15;14400.847315
2021-03-16;14427.796411
2021-03-17;14458.973713
2021-03-18;14409.998321
2021-03-19;14405.003784
2021-03-20;14405.003784
2021-03-21;14405.003784
2021-03-22;14402.498742
2021-03-23;14395.001262
2021-03-24;14445.665962
2021-03-25;14425.004237
2021-03-26;14417.501273
2021-03-27;14417.501273
2021-03-28;14417.501273
2021-03-29;14445.001697
2021-03-30;14533.004003
2021-03-31;14524.997868
2021-04-01;14531.099949
2021-04-02;14531.099949
2021-04-03;14531.099949
2021-04-04;14531.099949
2021-04-05;14531.099949
2021-04-06;14505.003386
2021-04-07;14561.351397
2021-04-08;14535.003790
2021-04-09;14598.351279
2021-04-10;14598.351279
2021-04-11;14598.351279
2021-04-12;14609.895833
2021-04-13;14653.001009
2021-04-14;14624.348044
2021-04-15;14617.451963
2021-04-16;14534.423494
2021-04-17;14534.423494
2021-04-18;14534.423494
2021-04-19;14510.452846
2021-04-20;14528.653224
2021-04-21;14545.598401
2021-04-22;14540.146107
2021-04-23;14525.401956
2021-04-24;14525.401956
2021-04-25;14525.401956
2021-04-26;14482.482416
2021-04-27;14509.852747
2021-04-28;14500.000000
2021-04-29;14417.025311
2021-04-30;14421.652044
2021-05-01;14421.652044
2021-05-02;14421.652044
2021-05-03;14425.896712
2021-05-04;14470.900923
2021-05-05;14421.749271
2021-05-06;14300.447761
2021-05-07;14270.146778
2021-05-08;14270.146778
